[2025-07-09 21:53:53,182] [INFO] [django.utils.autoreload] Watching for file changes with StatReloader
[2025-07-09 21:53:58,073] [INFO] [django.server] "GET / HTTP/1.1" 200 10675
[2025-07-09 21:53:58,185] [INFO] [django.server] "GET /static/css/error.css HTTP/1.1" 200 3545
[2025-07-09 21:53:58,185] [INFO] [django.server] "GET /static/css/recruiters/footer.css HTTP/1.1" 200 3156
[2025-07-09 21:53:58,191] [INFO] [django.server] "GET /static/css/notification.css HTTP/1.1" 200 2136
[2025-07-09 21:53:58,198] [INFO] [django.server] "GET /static/css/loading.css HTTP/1.1" 200 1014
[2025-07-09 21:53:58,207] [INFO] [django.server] "GET /static/img/logo.svg HTTP/1.1" 200 21415
[2025-07-09 21:53:58,217] [INFO] [django.server] "GET /static/js/loading.js HTTP/1.1" 200 1169
[2025-07-09 21:53:58,258] [INFO] [django.server] "GET /static/js/jobseeker/notification.js HTTP/1.1" 200 1030
[2025-07-09 21:53:58,258] [INFO] [django.server] "GET /static/js/modal.js HTTP/1.1" 200 2299
[2025-07-09 21:53:58,261] [INFO] [django.server] "GET /static/js/error.js HTTP/1.1" 200 3832
[2025-07-09 21:53:58,353] [INFO] [django.server] "GET /api/keyword/ HTTP/1.1" 200 1746
[2025-07-09 21:53:58,689] [WARNING] [django.request] Not Found: /favicon.ico
[2025-07-09 21:53:58,690] [WARNING] [django.server] "GET /favicon.ico HTTP/1.1" 404 6947
[2025-07-09 21:54:00,645] [INFO] [django.server] "GET /recruiters/ HTTP/1.1" 200 29557
[2025-07-09 21:54:00,682] [INFO] [django.server] "GET /static/css/recruiters/side-nav-1.css HTTP/1.1" 200 8138
[2025-07-09 21:54:00,687] [INFO] [django.server] "GET /static/css/recruiters/side-nav-3.css HTTP/1.1" 200 5013
[2025-07-09 21:54:00,688] [INFO] [django.server] "GET /static/css/recruiters/side-nav-2.css HTTP/1.1" 200 5059
[2025-07-09 21:54:00,690] [INFO] [django.server] "GET /static/css/recruiters/side-nav-5.css HTTP/1.1" 200 12965
[2025-07-09 21:54:00,692] [INFO] [django.server] "GET /static/css/recruiters/side-nav-4.css HTTP/1.1" 200 5067
[2025-07-09 21:54:00,695] [INFO] [django.server] "GET /static/css/recruiters/top-nav.css HTTP/1.1" 200 2535
[2025-07-09 21:54:00,697] [INFO] [django.server] "GET /static/css/recruiters/body.css HTTP/1.1" 200 4892
[2025-07-09 21:54:00,706] [INFO] [django.server] "GET /static/css/recruiters/post-left.css HTTP/1.1" 200 4591
[2025-07-09 21:54:00,706] [INFO] [django.server] "GET /static/css/model.css HTTP/1.1" 200 8230
[2025-07-09 21:54:00,708] [INFO] [django.server] "GET /static/css/recruiters/post-filter-mobile.css HTTP/1.1" 200 12354
[2025-07-09 21:54:00,709] [INFO] [django.server] "GET /static/css/recruiters/post-right.css HTTP/1.1" 200 8969
[2025-07-09 21:54:00,716] [INFO] [django.server] "GET /static/js/recruiters/post.js HTTP/1.1" 200 2783
[2025-07-09 21:54:00,736] [WARNING] [django.server] "GET /static/js/jobseeker/search-bar-recommandation.js HTTP/1.1" 404 1937
[2025-07-09 21:54:00,747] [INFO] [django.server] "GET /static/js/recruiters/nav.js HTTP/1.1" 200 5681
[2025-07-09 21:54:00,781] [INFO] [django.server] "GET /static/js/htmx/2_0_5.min.js HTTP/1.1" 200 51019
